,7
SR_Number,1-701284355
Status,Queued
ACTIVITY,Awaiting Assignment
Involved_ST_Function_Div,E_10
Involved_Org_line_3,Org line C
Involved_ST,G260 2nd
SR_Latest_Impact,Low
Product,PROD742
Country,in
Owner_Country,Sweden
time_from_start,4.712
time_from_previous_event(start),1.43
daytime,40042.069
weekday,Friday
# ACTIVITY=In Progress,5
# ACTIVITY=Awaiting Assignment,1
# ACTIVITY=Resolved,0
# ACTIVITY=Assigned,1
# ACTIVITY=Closed,0
# ACTIVITY=Wait - User,0
# ACTIVITY=Wait - Implementation,0
# ACTIVITY=Wait,0
# ACTIVITY=Wait - Vendor,0
# ACTIVITY=In Call,0
# ACTIVITY=Wait - Customer,0
# ACTIVITY=Unmatched,0
# ACTIVITY=Cancelled,0
